SEU-ALLEN_local_17542_22179_23432_6018_CCFv3.swc,0,0,5,96,39,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22187_32132_5916_CCFv3.swc,0,9,0,21,5,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22260_22108_6136_CCFv3.swc,0,2,29,77,72,8,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22327_32343_5925_CCFv3.swc,0,3,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22329_21626_6179_CCFv3.swc,1,11,49,31,90,136,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22340_21302_6193_CCFv3.swc,0,31,12,34,100,113,41,52,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22466_21437_6251_CCFv3.swc,1,3,31,147,87,28,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22468_21235_6228_CCFv3.swc,0,21,19,0,60,128,166,37,78,32,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22567_32656_5700_CCFv3.swc,0,0,26,15,3,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22598_38890_6847_CCFv3.swc,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22638_32812_5964_CCFv3.swc,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22748_33156_5665_CCFv3.swc,3,37,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22752_39074_6670_CCFv3.swc,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22759_37397_6785_CCFv3.swc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22767_20618_6427_CCFv3.swc,1,24,15,59,92,2,1,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22767_21236_5981_CCFv3.swc,1,4,72,71,127,55,77,82,46,13,8,2,0,0,0,0,0
SEU-ALLEN_local_17542_22790_33440_5623_CCFv3.swc,8,32,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22794_21679_6218_CCFv3.swc,2,2,40,57,62,122,153,43,84,7,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22814_39037_6401_CCFv3.swc,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22838_38894_6351_CCFv3.swc,0,56,40,105,147,7,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22845_38656_6816_CCFv3.swc,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22852_38855_6312_CCFv3.swc,9,57,70,42,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22869_33284_5665_CCFv3.swc,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22884_38952_6460_CCFv3.swc,0,58,57,68,46,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_22988_38615_6393_CCFv3.swc,47,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_23105_34708_5719_CCFv3.swc,0,6,59,108,37,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_23124_33388_5864_CCFv3.swc,0,16,3,29,37,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_23129_37241_6752_CCFv3.swc,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_23143_38486_6536_CCFv3.swc,70,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_23147_36529_5980_CCFv3.swc,43,4,45,57,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_23205_33287_6170_CCFv3.swc,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_23455_34023_6110_CCFv3.swc,4,26,49,32,52,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_23456_34543_6344_CCFv3.swc,42,39,36,46,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_23465_34396_5944_CCFv3.swc,6,14,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_23517_37665_6425_CCFv3.swc,8,7,153,219,7,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_23523_34261_6111_CCFv3.swc,0,22,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_23618_34125_6293_CCFv3.swc,2,16,50,126,24,9,3,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_23623_34667_6086_CCFv3.swc,22,24,47,64,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_23629_34410_6196_CCFv3.swc,9,35,37,27,13,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17542_23789_35197_6218_CCFv3.swc,1,8,8,30,133,29,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17543_11470_19891_6571_CCFv3.swc,0,0,72,98,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17543_11610_19545_6584_CCFv3.swc,0,84,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17543_12686_3959_6244_CCFv3.swc,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17543_5304_10671_4814_CCFv3.swc,43,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
