target_cell,1,2,3,4,5,6,7,8,9,10
SEU-ALLEN_local_17300_24694_14000_3832_CCFv3.swc,0,0,0,3,0,0,0,0,0,0
SEU-ALLEN_local_17300_24720_43518_3487_CCFv3.swc,0,1,3,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_24748_17242_2856_CCFv3.swc,0,1,0,1,2,2,1,0,0,0
SEU-ALLEN_local_17300_24753_16463_2935_CCFv3.swc,0,1,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_24807_16056_3062_CCFv3.swc,0,4,0,6,3,0,0,0,0,0
SEU-ALLEN_local_17300_24864_16622_2991_CCFv3.swc,0,0,0,1,3,1,0,0,0,0
SEU-ALLEN_local_17300_24935_13980_5664_CCFv3.swc,0,0,0,1,0,0,0,0,0,0
SEU-ALLEN_local_17300_25052_13795_4021_CCFv3.swc,0,0,0,2,0,0,0,0,0,0
SEU-ALLEN_local_17300_25055_41999_4014_CCFv3.swc,0,0,0,0,0,0,1,1,0,1
SEU-ALLEN_local_17300_25072_15250_2966_CCFv3.swc,0,0,0,0,1,0,0,0,0,0
SEU-ALLEN_local_17300_25194_16294_2760_CCFv3.swc,0,2,3,10,7,7,0,0,0,0
SEU-ALLEN_local_17300_25426_42274_4086_CCFv3.swc,1,0,1,7,4,2,0,1,0,0
SEU-ALLEN_local_17300_25470_41554_4467_CCFv3.swc,0,3,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_25500_18358_3041_CCFv3.swc,0,0,0,2,0,2,1,3,0,0
SEU-ALLEN_local_17300_25512_17760_3348_CCFv3.swc,0,1,2,1,4,0,1,1,0,0
SEU-ALLEN_local_17300_25570_43274_4015_CCFv3.swc,0,0,1,1,1,0,0,0,0,0
SEU-ALLEN_local_17300_25577_41780_4403_CCFv3.swc,0,1,0,1,0,0,0,0,3,0
SEU-ALLEN_local_17300_25588_17556_3538_CCFv3.swc,0,0,0,1,0,1,0,1,0,0
SEU-ALLEN_local_17300_25609_16615_4059_CCFv3.swc,0,1,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_25625_42460_5048_CCFv3.swc,0,0,1,7,0,0,0,0,0,0
SEU-ALLEN_local_17300_25626_42706_3871_CCFv3.swc,0,1,0,1,2,8,1,0,0,0
SEU-ALLEN_local_17300_25629_43042_4532_CCFv3.swc,0,0,1,1,0,1,0,0,0,0
SEU-ALLEN_local_17300_25643_15219_5452_CCFv3.swc,3,1,4,4,2,0,0,0,0,0
