target_cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
SEU-ALLEN_local_15257_17012_22874_4800_CCFv3.swc,0,0,0,1,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_17075_22977_4835_CCFv3.swc,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_17088_26447_4917_CCFv3.swc,0,0,8,59,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_17093_13230_4170_CCFv3.swc,16,3,22,6,56,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_17143_14401_5339_CCFv3.swc,0,0,10,0,7,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_17282_27317_5382_CCFv3.swc,0,0,0,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_17341_24408_4502_CCFv3.swc,0,0,0,4,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_17341_25071_5102_CCFv3.swc,0,0,0,13,6,24,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_17350_12616_4989_CCFv3.swc,0,13,0,11,12,14,27,2,0,10,6,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_17374_25145_5161_CCFv3.swc,0,21,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_17444_12758_4621_CCFv3.swc,0,6,0,0,0,12,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_17567_23482_4943_CCFv3.swc,0,1,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_17748_24715_5117_CCFv3.swc,0,10,2,31,2,25,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_17775_14422_5001_CCFv3.swc,0,0,0,19,38,23,1,46,43,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_17818_14379_5012_CCFv3.swc,1,6,3,3,7,9,44,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_17841_14007_4922_CCFv3.swc,0,27,34,35,23,0,12,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_17848_24833_5234_CCFv3.swc,0,2,14,2,13,43,42,9,19,11,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_17913_14436_5045_CCFv3.swc,0,9,64,19,31,34,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_15257_18166_22293_4683_CCFv3.swc,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17051_9907_6626_3670_CCFv3.swc,0,0,0,20,102,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_10781_4918_4557_CCFv3.swc,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_21996_2746_4846_CCFv3.swc,7,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_22363_3022_4669_CCFv3.swc,0,23,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_22369_3036_5550_CCFv3.swc,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_24921_3826_4886_CCFv3.swc,28,7,22,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_25883_5306_4143_CCFv3.swc,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_26035_4047_5990_CCFv3.swc,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_26301_4708_4835_CCFv3.swc,0,8,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_26313_4633_4843_CCFv3.swc,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_26598_4309_5738_CCFv3.swc,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
