,x_umap,y_umap,x_sp,y_sp,region,soma_x,soma_y,soma_z,label,color
SEU-ALLEN_local_17542_22638_32812_5964_CCFv3,9.932688,20.89069,-1.0341845627044308,-0.460309112505391,CA1,294.955,80.783,272.09400000000005,2,#fc8d62
SEU-ALLEN_local_17542_22748_33156_5665_CCFv3,10.345464,21.714928,-2.075300766770544,-1.8684933852388108,CA1,278.777,76.494,276.255,2,#fc8d62
SEU-ALLEN_local_17542_22752_39074_6670_CCFv3,0.801717,21.501215,0.3155635456446616,6.277542873290847,CA1,331.852,92.814,342.225,2,#fc8d62
SEU-ALLEN_local_17542_22759_37397_6785_CCFv3,14.111214,15.213928,-3.14068457200281,-2.209156785591262,CA1,337.87296000000003,94.181,321.47799999999995,2,#fc8d62
SEU-ALLEN_local_17542_22767_20618_6427_CCFv3,12.045735,6.370826,1.7215970912311669,3.147077888194431,CA1,319.939,72.09100000000001,286.904,2,#fc8d62
SEU-ALLEN_local_17542_22767_21236_5981_CCFv3,9.772493,-2.9966714,3.092522206885165,2.100419161002269,CA1,296.632,67.774,281.218,1,#66c2a5
SEU-ALLEN_local_17542_22790_33440_5623_CCFv3,6.036348,17.49701,-0.8356126787572817,1.5583557241739017,CA1,276.393,75.921,279.39,2,#fc8d62
SEU-ALLEN_local_17542_22794_21679_6218_CCFv3,9.846155,-2.8004339,3.2028827462056135,-0.027739197585204333,CA1,309.296,70.446,276.807,1,#66c2a5
SEU-ALLEN_local_17542_22814_39037_6401_CCFv3,0.2551595,17.431026,-5.864578943776132,1.339358288033538,CA1,316.621,89.149,342.358,2,#fc8d62
SEU-ALLEN_local_17542_22838_38894_6351_CCFv3,12.423436,16.226345,-0.04001648311933093,0.3381878974302116,CA1,313.89599999999996,88.212,340.663,2,#fc8d62
SEU-ALLEN_local_17542_22845_38656_6816_CCFv3,-1.8285939,17.231266,-5.086518025297749,0.1606362666846606,CA1,340.25203999999997,93.259,336.768,2,#fc8d62
SEU-ALLEN_local_17542_22852_38855_6312_CCFv3,8.981696,16.379833,-1.0995914172602321,3.204911978116334,CA1,311.703,87.62,340.233,2,#fc8d62
SEU-ALLEN_local_17542_22869_33284_5665_CCFv3,5.8946557,20.82136,-3.4639942992674224,0.2532812279570261,CA1,278.805,74.92699999999999,277.59900000000005,2,#fc8d62
SEU-ALLEN_local_17542_22884_38952_6460_CCFv3,4.43963,19.414867,-4.911043567058114,-1.6239066885511757,CA1,320.202,88.693,341.348,2,#fc8d62
SEU-ALLEN_local_17542_22988_38615_6393_CCFv3,1.397186,18.454071,-2.8145963153284477,3.6562444725668746,CA1,316.745,86.285,337.33799999999997,2,#fc8d62
SEU-ALLEN_local_17542_23105_34708_5719_CCFv3,10.119938,15.001835,-0.49209967946800165,0.9041662048334667,CA1,281.32,73.694,292.876,2,#fc8d62
SEU-ALLEN_local_17542_23124_33388_5864_CCFv3,5.6773443,13.856272,-1.4880531536002268,2.205869839318243,CA1,289.995,73.153,278.221,2,#fc8d62
SEU-ALLEN_local_17542_23129_37241_6752_CCFv3,-1.3148104,16.661104,-5.481795832231193,0.16112475810325425,CA1,337.06,88.26100000000001,320.3,2,#fc8d62
SEU-ALLEN_local_17542_23143_38486_6536_CCFv3,5.223167,20.551691,-4.7293516909954345,-2.3449661979854617,CA1,325.282,85.51299999999999,335.739,2,#fc8d62
SEU-ALLEN_local_17542_23147_36529_5980_CCFv3,12.208959,17.065445,-1.5892504670819265,-1.5697057349141148,CA1,294.74,77.482,313.197,2,#fc8d62
SEU-ALLEN_local_17542_23205_33287_6170_CCFv3,2.3313656,17.862812,-1.2074207006707707,2.8903794926059985,CA1,306.55,75.994,277.187,2,#fc8d62
SEU-ALLEN_local_17542_23455_34023_6110_CCFv3,10.365405,15.618785,-1.5381519588241666,2.46195736160969,CA1,303.626,72.107,284.97799999999995,2,#fc8d62
SEU-ALLEN_local_17542_23456_34543_6344_CCFv3,6.5206876,15.938171,-3.711041998707472,1.1033984227728793,CA1,315.94599999999997,75.899,290.623,2,#fc8d62
SEU-ALLEN_local_17542_23465_34396_5944_CCFv3,17.242237,12.021717,-4.281145903822541,-2.193922846757106,CA1,294.38596,70.218,289.08299999999997,2,#fc8d62
SEU-ALLEN_local_17542_23517_37665_6425_CCFv3,13.629756,16.99001,-3.46912891512638,-0.584398412434608,CA1,319.884,78.164,326.02200000000005,2,#fc8d62
SEU-ALLEN_local_17542_23523_34261_6111_CCFv3,12.580744,17.283733,-3.7340898869862817,-0.6259999753785249,CA1,303.71299999999997,71.33,287.568,2,#fc8d62
SEU-ALLEN_local_17542_23618_34125_6293_CCFv3,14.508179,16.549082,-1.8495270038759581,-2.484042229931048,CA1,313.603,72.548,286.186,2,#fc8d62
SEU-ALLEN_local_17542_23623_34667_6086_CCFv3,10.597293,22.858492,-0.8990677227649381,-1.7548841674185076,CA1,302.32099999999997,69.881,292.03499999999997,2,#fc8d62
SEU-ALLEN_local_17542_23629_34410_6196_CCFv3,12.095217,15.872608,-3.4109365990714124,-1.709487953552901,CA1,308.42,71.119,289.22,2,#fc8d62
SEU-ALLEN_local_17542_23789_35197_6218_CCFv3,13.814941,16.881973,-0.028568222871051485,-1.7787870093033677,CA1,309.54200000000003,69.607,297.892,2,#fc8d62
SEU-ALLEN_local_17543_11470_19891_6571_CCFv3,5.2613783,14.515764,-2.883652974719253,1.7118342229712202,CA1,351.909,186.40900000000002,367.85699999999997,2,#fc8d62
SEU-ALLEN_local_17543_11610_19545_6584_CCFv3,6.402421,15.659528,-3.335208536384345,1.0840192801584514,CA1,352.41,188.637,361.175,2,#fc8d62
SEU-ALLEN_local_17543_12686_3959_6244_CCFv3,2.792452,14.443062,-4.988607436982331,-0.46839404767825743,CA1,354.798,209.195,363.781,2,#fc8d62
SEU-ALLEN_local_17543_5304_10671_4814_CCFv3,14.107232,10.535735,-2.7540971316886433,1.773514002107733,CA1,291.682,76.015,249.68400000000003,2,#fc8d62
SEU-ALLEN_local_17543_5486_13129_4486_CCFv3,4.245765,14.724465,-2.555965446939862,1.5108487173453433,CA1,265.835,85.835,243.79,2,#fc8d62
SEU-ALLEN_local_17543_5780_12931_4554_CCFv3,6.797581,16.368753,-1.702366007987681,2.8931045468618377,CA1,268.873,90.19,240.46099999999998,2,#fc8d62
SEU-ALLEN_local_17543_5846_10597_5101_CCFv3,3.1641304,19.754683,-3.5722328681402375,-0.03698228543444648,CA1,306.76599999999996,82.781,249.49,2,#fc8d62
SEU-ALLEN_local_17545_19348_42050_6434_CCFv3,2.3018248,12.716785,-5.20543218756788,3.7794158295976774,CA1,353.50300000000004,200.49200000000002,378.99,2,#fc8d62
SEU-ALLEN_local_17781_12416_10271_6639_CCFv3,5.8025455,-10.89683,-2.985313829997862,2.1176449518752323,CA1,342.506,135.888,380.75,1,#66c2a5
SEU-ALLEN_local_17781_6456_33787_6345_CCFv3,7.36752,-12.415829,-1.1988828325726015,2.662208940048385,CA1,316.533,63.702,291.228,1,#66c2a5
SEU-ALLEN_local_17781_8362_14134_6804_CCFv3,9.114913,-10.37541,1.4505629348088966,2.363178386844968,CA1,345.151,87.32,342.41700000000003,1,#66c2a5
SEU-ALLEN_local_17782_39166_12539_6524_CCFv3,5.833726,-12.372858,-3.6739629902782656,9.387832944266439,CA1,318.317,136.39600000000002,380.051,1,#66c2a5
SEU-ALLEN_local_17782_6611_10745_7213_CCFv3,6.451799,-12.759558,-1.4363001978643086,-2.7792299501506856,CA1,347.05699999999996,137.343,383.74199999999996,1,#66c2a5
SEU-ALLEN_local_17782_8046_8733_6990_CCFv3,5.637736,-11.520604,0.44838750846768965,-4.317228349152197,CA1,336.795,113.90299999999999,372.184,2,#fc8d62
SEU-ALLEN_local_17782_9525_19113_7395_CCFv3,6.687896,-13.013356,-2.1366451187858386,3.3444786980269905,CA1,344.88199999999995,234.50099999999998,349.41596,1,#66c2a5
